id,data_registro,tipo_ocorrencia,descricao,status,nome_declarante,nome_autor,deleted
19,2025-06-08,Violação de Domicílio,Numquam nisi necessitatibus perspiciatis omnis sequi.,Aguardando Validação,Calebe Camargo,Gael Henrique Nascimento,False
20,2025-02-13,Homicídio,Aperiam voluptates sed velit dolor et laborum.,Concluído,Luigi Camargo,Paulo Barros,False
21,2025-07-26,Desacato,Dolorum tenetur incidunt.,Complementado,Brayan da Rocha,Antony Campos,False
22,2025-02-25,Ameaça,Accusamus voluptatibus magnam aspernatur.,Em Análise,Maria Julia Alves,Lucca Duarte,False
23,2025-05-04,Desobediência,Voluptatibus fugit magni maiores aliquam itaque nulla.,Reaberto,Sabrina Duarte,Arthur Gabriel Abreu,False
24,2025-09-29,Difamação,Cupiditate libero neque corporis necessitatibus eius.,Complementado,Lucas Gabriel Casa Grande,Vitor Hugo Pastor,False
25,2025-05-08,Lesão Corporal,Eum minima eveniet delectus nesciunt praesentium porro voluptates.,Registrado,Benjamim Rios,Luiz Henrique Guerra,False
26,2025-08-07,Posse de Drogas,Placeat saepe eaque.,Cancelado,Alexandre Martins,Dr. Dom Ribeiro,False
27,2025-04-07,Violação de Domicílio,Repellat enim error eius sed.,Registrado,José Pedro Cavalcanti,Dr. Pedro Henrique Albuquerque,False
28,2025-01-26,Furto,Sed consequuntur quasi necessitatibus quae.,Arquivado,Gustavo Henrique Vargas,Srta. Larissa Siqueira,False
29,2025-08-11,Estelionato,Cumque quis ducimus sit soluta.,Complementado,Rhavi Mendes,Henrique Teixeira,False
30,2025-03-12,Ameaça,Tempore doloribus amet tempore provident.,Complementado,Luiz Gustavo Pires,Vicente Oliveira,False
31,2025-07-27,Encontro de Pessoa,Ut ipsa nobis eaque atque amet.,Em Investigação,Srta. Liz Jesus,Alana Cardoso,False
32,2025-04-27,Tentativa de Suicídio,Consequatur hic veritatis.,Complementado,Ana Laura Moreira,Anthony das Neves,False
33,2025-06-02,Desacato,Possimus perferendis dolor nisi repellat.,Em Investigação,Mirella da Rosa,Amanda Ferreira,False
34,2025-10-13,Roubo,Quaerat sequi eius iure expedita nihil.,Encaminhado,Vitor Gabriel Pimenta,Kevin Fernandes,False
35,2025-07-10,Fraude,Itaque nostrum consectetur in.,Aguardando Validação,Juan Mendes,Ana Liz Fernandes,False
36,2025-03-06,Violência Doméstica,Voluptatum ducimus minima repellat eligendi magni magni.,Arquivado,Maya Rodrigues,Isabelly Rocha,False
37,2025-07-16,Furto,Harum sed facere officia libero maiores.,Em Análise,Ravi Araújo,Benício Vasconcelos,False
38,2025-03-14,Calúnia,Eligendi magni minima aperiam odit.,Aguardando Validação,Luan Martins,Gustavo Brito,False
39,2025-02-20,Desaparecimento de Pessoa,Eum ut quia est iure.,Suspenso,Benjamin Fonseca,Manuela Brito,False
40,2025-05-24,Calúnia,Et expedita pariatur eligendi enim.,Registrado,Maria Júlia Costa,Yago Cavalcante,False
41,2025-09-24,Maus-tratos a Animais,Hic necessitatibus autem iusto pariatur facere.,Concluído,Lucas Gabriel Rios,Alana Borges,False
42,2025-04-13,Fraude,Et quis fuga nemo atque dolor impedit modi.,Arquivado,Sra. Bruna das Neves,José Cavalcanti,False
43,2025-05-25,Dano,Commodi omnis nemo velit.,Aguardando Validação,Dr. Yago da Mota,Cecilia Moraes,False
44,2025-10-10,Furto,Ratione ipsa perspiciatis esse exercitationem iste illo veritatis.,Encaminhado,José Pedro da Rocha,Sra. Mirella Andrade,False
45,2025-07-05,Acidente de Trânsito,Possimus quas tempore.,Reaberto,Léo Gomes,Dr. Nathan Novaes,False
46,2025-08-02,Maus-tratos a Animais,Natus asperiores tempore nesciunt impedit.,Em Análise,Otávio Albuquerque,Luiz Henrique Pacheco,False
47,2025-09-21,Ameaça,Beatae occaecati natus pariatur hic esse porro.,Arquivado,Ravi Lucca Rios,Luiz Miguel Leão,False
48,2025-10-20,Homicídio,Porro cupiditate veritatis possimus nulla.,Encaminhado,Srta. Ana Lívia Caldeira,Sra. Sara da Mota,False
49,2025-07-05,Maus-tratos a Animais,Excepturi voluptatum aliquid nam magni.,Registrado,Brenda Mendonça,Hellena Martins,False
50,2025-05-09,Fraude,Quos consequuntur possimus error.,Complementado,Giovanna Gonçalves,Srta. Alice Pereira,False
51,2025-03-10,Perturbação do Sossego/Tranquilidade,Magni pariatur repudiandae aut.,Cancelado,Jade Fogaça,Bárbara Duarte,False
52,2025-10-18,Fraude,Possimus omnis sapiente cupiditate aut repudiandae aut.,Encaminhado,Letícia Pacheco,Melina Carvalho,False
53,2025-04-26,Outros,Porro quibusdam voluptates ex eligendi alias.,Arquivado,Gabriela Cavalcanti,Heitor Novais,False
54,2025-09-16,Posse de Drogas,Maxime magnam tempore illo ducimus ipsam autem.,Em Análise,Alana Viana,Ana Julia Costela,False
55,2025-03-05,Violação de Medida Protetiva,Soluta iusto numquam quas quis deleniti occaecati aspernatur.,Arquivado,Theodoro Campos,Daniel Camargo,False
56,2025-01-15,Crime Cibernético,Dolorem quidem eum laborum.,Em Investigação,Caleb Montenegro,Augusto Rodrigues,False
57,2025-01-12,Outros,Ipsa harum consectetur.,Em Análise,Isaac Lopes,Otto Nunes,False
58,2025-05-14,Desaparecimento de Pessoa,Sunt fuga quos cum doloribus.,Em Investigação,Dom Pereira,Daniela Cunha,False
59,2025-03-22,Desacato,Cum unde illo facilis ut.,Reaberto,Apollo Pereira,Melina Rodrigues,False
60,2025-10-12,Violação de Medida Protetiva,Veniam quo officiis deleniti esse rem minima.,Cancelado,Yan Albuquerque,Marcelo Freitas,False
61,2025-07-31,Encontro de Pessoa,Maiores a qui tempora itaque quam maxime.,Encaminhado,João Vitor Brito,Dra. Zoe Casa Grande,False
62,2025-01-05,Difamação,Accusantium molestias iste quas officiis.,Cancelado,Eduardo Sampaio,Júlia Ribeiro,False
63,2025-01-07,Crime Cibernético,Unde natus laborum occaecati.,Reaberto,Sr. Mathias Barros,Dra. Manuela Gomes,False
64,2025-05-22,Maus-tratos a Animais,Vitae libero doloribus ullam ab inventore.,Concluído,Bryan Souza,Sra. Ísis Sá,False
65,2025-03-18,Perturbação do Sossego/Tranquilidade,Placeat quibusdam laboriosam iure numquam.,Encaminhado,Ágatha Caldeira,Evelyn Pinto,False
66,2025-03-27,Porte Ilegal de Arma,Consequatur quam porro impedit.,Registrado,Sofia Souza,Caio Garcia,False
67,2025-09-13,Encontro de Pessoa,Nisi sunt accusantium sequi sed veniam.,Reaberto,Jade Câmara,Isaque Barros,False
68,2025-08-17,Porte Ilegal de Arma,Labore corporis illum aperiam.,Cancelado,Milena da Luz,Dra. Ana Sophia da Paz,False
69,2025-04-04,Violência Doméstica,Officiis soluta mollitia nihil.,Aguardando Validação,Sra. Rebeca Montenegro,Dr. Luiz Miguel Caldeira,False
70,2025-01-16,Desacato,Consectetur at fuga est laborum rem.,Concluído,Emanuel Albuquerque,Kevin Rodrigues,False
71,2025-05-26,Desacato,Ex hic aliquam tempora.,Registrado,João Lucas Teixeira,Sr. Rhavi Costela,False
72,2025-01-17,Posse de Drogas,Qui consequuntur quo ut vel vero ratione.,Reaberto,Ágatha Brito,Heloisa da Paz,False
73,2025-01-14,Tentativa de Suicídio,Rerum culpa necessitatibus accusantium corporis nisi consequuntur.,Suspenso,Mirella Pires,João Vitor Campos,False
74,2025-02-13,Furto,Atque laboriosam quam repellendus.,Em Análise,Benjamin Rios,Rafael Castro,False
75,2025-02-20,Maus-tratos a Animais,Repellendus labore mollitia similique sint voluptas expedita.,Reaberto,Ana Lívia Carvalho,Larissa Albuquerque,False
76,2025-04-14,Fraude,Amet voluptates cupiditate amet eaque alias.,Complementado,Maria Cecília Alves,João Pedro Correia,False
77,2025-02-09,Homicídio,Asperiores eveniet rem incidunt est.,Complementado,Manuela Fonseca,Dr. Pedro Miguel Melo,False
78,2025-10-13,Homicídio,Reprehenderit quisquam sunt aliquid totam exercitationem dolor labore.,Aguardando Validação,Ian Alves,Luiz Felipe Vasconcelos,False
79,2025-02-02,Crime Cibernético,Eaque ratione nisi voluptatem.,Complementado,Pietra da Conceição,Camila Cassiano,False
80,2025-08-14,Desacato,Cum alias quae.,Em Análise,Eloá Novais,Dr. João Vitor Fernandes,False
81,2025-02-22,Encontro de Pessoa,Perferendis quibusdam a recusandae voluptatum fugiat.,Reaberto,Otto Mendonça,Leonardo Câmara,False
82,2025-02-16,Encontro de Cadáver,Fugit accusamus eveniet nihil laudantium.,Registrado,Igor Rezende,Lunna Leão,False
83,2025-08-12,Encontro de Pessoa,Ipsum dolore corrupti quis laborum.,Encaminhado,João Vitor Almeida,Anna Liz Peixoto,False
84,2025-04-01,Danos Materiais,Harum vitae distinctio reiciendis minus.,Encaminhado,Ana Carolina Costela,Lucas Gabriel Garcia,False
85,2025-05-17,Injúria,Voluptas voluptatibus esse nisi ut totam eos.,Encaminhado,Marcela Cirino,Luigi da Mata,False
86,2025-08-16,Calúnia,Illo provident provident repudiandae quaerat reiciendis.,Arquivado,Sra. Ágatha Ferreira,Laura Teixeira,False
87,2025-09-25,Violência Doméstica,Recusandae quod autem unde aliquid aliquam a quod.,Encaminhado,Thomas Siqueira,João Vitor Viana,False
88,2025-02-28,Ameaça,Repudiandae beatae sequi aliquid quam iste eligendi.,Reaberto,Liz Andrade,Dra. Júlia Abreu,False
89,2025-05-20,Violência Doméstica,Hic praesentium nesciunt.,Registrado,Ágatha Oliveira,Pedro Miguel Fernandes,False
90,2025-04-03,Estelionato,Fuga magnam facere eius sunt ipsa labore.,Encaminhado,Ana Carolina Pires,Dr. Kaique Pacheco,False
91,2025-07-23,Porte Ilegal de Arma,Modi dolore ducimus ad totam occaecati consequatur.,Suspenso,Maya Silveira,Joaquim Teixeira,False
92,2025-07-23,Difamação,Molestias dolorum exercitationem est facilis.,Em Investigação,Augusto Aragão,Agatha Freitas,False
93,2025-10-09,Perturbação do Sossego/Tranquilidade,Quisquam rem voluptas ipsum reiciendis voluptatum laudantium.,Em Investigação,Vitor Gabriel Teixeira,Ana Borges,False
94,2025-02-08,Desaparecimento de Pessoa,Harum est quas fuga placeat modi.,Cancelado,Ana Luiza Sá,Dra. Vitória Porto,False
95,2025-03-19,Injúria,Itaque cumque perspiciatis aut.,Encaminhado,Ana Vitória Casa Grande,Cecilia Cunha,False
96,2025-03-03,Dano,Ducimus praesentium debitis.,Arquivado,Isaque Macedo,Maria Alice da Paz,False
97,2025-02-04,Acidente de Trânsito,Eos eligendi reprehenderit quia ullam.,Complementado,Dr. Arthur Miguel Camargo,Danilo Castro,False
98,2025-06-07,Fraude,Cumque adipisci tempora quas id.,Em Análise,Dr. Enrico Silva,Sra. Ana Julia da Rocha,False
99,2025-09-25,Dano,Eos ratione magni in repudiandae exercitationem corporis nostrum.,Encaminhado,Davi da Conceição,Lucca Almeida,False
100,2025-06-20,Furto,Culpa eveniet veritatis.,Concluído,Maysa Montenegro,Manuella Pimenta,False
101,2025-07-14,Estelionato,Similique autem quod fuga.,Suspenso,Ana Luiza Novais,Dr. Luan Sá,False
102,2025-02-06,Danos Materiais,Voluptatum saepe vel explicabo possimus dolores.,Arquivado,Ana Júlia da Rocha,Srta. Yasmin Alves,False
103,2025-09-16,Porte Ilegal de Arma,Voluptatem quidem reiciendis non.,Complementado,Davi Luiz Fogaça,Maria Alice Almeida,False
104,2025-06-11,Dano,Omnis dolores animi laudantium in odio iure.,Encaminhado,Pedro Henrique Sousa,Caroline Fogaça,False
105,2025-06-07,Dano,Accusantium quo quisquam similique.,Complementado,Ana Luiza Andrade,Kevin Pinto,False
106,2025-01-24,Homicídio,Placeat amet reiciendis.,Registrado,Clara Rocha,Isadora Cassiano,False
107,2025-04-22,Violação de Medida Protetiva,Consequuntur esse repellat dolores.,Reaberto,Alice Rocha,Bianca Sales,False
108,2025-07-26,Violência Doméstica,Ducimus ipsum dolore expedita tempora quas.,Concluído,Srta. Anna Liz Monteiro,Ana Carolina Guerra,False
109,2025-05-25,Posse de Drogas,Perspiciatis voluptatibus natus facilis quidem tempore earum.,Arquivado,Isaque da Mata,Luiz Miguel Siqueira,False
110,2025-09-24,Tráfico de Drogas,Ratione laudantium ut sunt saepe.,Cancelado,Nina Jesus,Manuela Fogaça,False
111,2025-08-01,Lesão Corporal,Tenetur animi officia debitis consequatur dolorem ab.,Concluído,Paulo Pereira,Dra. Lara Andrade,False
112,2025-07-11,Danos Materiais,Voluptatem aliquam praesentium dolore.,Cancelado,Alice da Cunha,Lorenzo Almeida,False
113,2025-03-25,Danos Materiais,Quaerat quae mollitia porro sit.,Encaminhado,Daniel Mendes,Pietro Nascimento,False
114,2025-06-21,Estelionato,Amet minima velit voluptate culpa itaque.,Arquivado,Pedro Machado,Thales da Rosa,False
115,2025-05-25,Estelionato,Deleniti repellendus libero mollitia.,Encaminhado,Diego Silveira,Heloísa Albuquerque,False
116,2025-02-21,Estelionato,Ipsam quam inventore dicta dicta aspernatur officiis nam.,Arquivado,Mariah Santos,Juan Nascimento,False
117,2025-09-28,Perturbação do Sossego/Tranquilidade,Perspiciatis dolores eveniet inventore.,Aguardando Validação,Bento Montenegro,Fernando Vargas,False
118,2025-04-08,Desobediência,Nemo illum modi laborum consectetur alias.,Reaberto,Ágatha Araújo,Lucas Pereira,False
119,2025-08-27,Furto,Consectetur provident debitis temporibus atque ullam iusto.,Suspenso,Stella Lopes,Carlos Eduardo Sales,False
120,2025-04-23,Homicídio,Exercitationem pariatur itaque ratione nesciunt accusantium tempora.,Registrado,Stephany Rocha,Srta. Maria Luísa da Rosa,False
121,2025-10-13,Encontro de Pessoa,Nulla eum voluptatibus temporibus.,Aguardando Validação,Josué Pastor,Ísis Fogaça,False
122,2025-08-10,Porte Ilegal de Arma,Facere architecto earum praesentium adipisci mollitia assumenda.,Concluído,Kevin da Costa,Cecília Teixeira,False
123,2025-08-02,Violação de Domicílio,Ullam fugiat incidunt necessitatibus iure.,Aguardando Validação,Isadora da Cruz,Miguel Nunes,False
124,2025-09-16,Encontro de Cadáver,Sint non dolores delectus veritatis.,Concluído,Davi Nunes,Antônio Carvalho,False
125,2025-10-15,Danos Materiais,Dicta nostrum ipsam ea ex rem quas pariatur.,Encaminhado,Pietra da Conceição,Davi Abreu,False
126,2025-04-19,Danos Materiais,Ab laborum voluptas architecto deserunt at quo illo.,Arquivado,Dra. Allana Duarte,Ana Julia Mendes,False
127,2025-07-20,Roubo,Voluptatibus eaque qui itaque occaecati.,Em Análise,Emanuel Nunes,Matheus Cirino,False
128,2025-09-24,Lesão Corporal,Esse necessitatibus voluptatum magnam voluptatem libero veniam natus.,Arquivado,Dr. Juan Almeida,Maria Luiza Cavalcante,False
129,2025-06-25,Ameaça,Libero veniam minus qui minus quidem quos tenetur.,Encaminhado,Vinícius Rodrigues,Lucca Nogueira,False
130,2025-09-27,Violação de Medida Protetiva,Itaque animi delectus.,Suspenso,Oliver Cunha,Sabrina Câmara,False
131,2025-09-23,Ameaça,Veniam exercitationem laboriosam.,Aguardando Validação,Ana Leão,Enrico Peixoto,False
132,2025-05-14,Ameaça,Maxime voluptas corporis qui.,Reaberto,Guilherme Mendes,Luiz Henrique Câmara,False
133,2025-01-15,Violação de Medida Protetiva,Accusamus nemo fugit occaecati.,Em Análise,Leandro Cirino,Sra. Luiza Duarte,False
134,2025-02-20,Encontro de Pessoa,Eligendi odit consequatur exercitationem autem deserunt magni.,Arquivado,Maria Julia Cassiano,Maria Eduarda Cassiano,False
135,2025-03-22,Crime Cibernético,Doloribus perferendis fuga.,Em Análise,Luan das Neves,Bruna Montenegro,False
136,2025-08-09,Injúria,Repudiandae harum quibusdam perferendis magnam consectetur nemo.,Arquivado,Manuella Moraes,Sr. Isaac Viana,False
137,2025-08-23,Encontro de Cadáver,Accusamus ex illum temporibus aperiam deserunt.,Encaminhado,Asafe Costa,Luana Sousa,False
138,2025-07-30,Injúria,Eum quod quisquam quas.,Suspenso,Maya Albuquerque,Ana Liz Farias,False
139,2025-01-01,Outros,Et porro deleniti ipsam sed.,Encaminhado,Maria Flor Correia,Lorena Albuquerque,False
140,2025-06-07,Estelionato,Dicta vel modi autem numquam ad corrupti.,Complementado,Marcela Caldeira,Luigi Araújo,False
141,2025-08-05,Violação de Medida Protetiva,Hic ut natus.,Suspenso,Srta. Maria Isis Ferreira,Dra. Clarice Azevedo,False
142,2025-10-04,Tráfico de Drogas,Earum neque natus possimus.,Reaberto,Alana Araújo,Alícia Sampaio,False
143,2025-05-07,Roubo,Reiciendis maxime autem.,Concluído,Luiz Fernando Vargas,Lara Moura,False
144,2025-04-28,Estelionato,Voluptate odit ducimus dolorum.,Em Investigação,Allana Vargas,Juan Rios,False
145,2025-04-23,Crime Cibernético,Ut quidem minima eius.,Complementado,Maria Luiza da Cunha,João Lucas Araújo,False
146,2025-07-25,Estelionato,Eius culpa consequatur amet ipsum nostrum illum.,Em Investigação,Lorena Camargo,Dante Pacheco,False
147,2025-03-06,Maus-tratos a Animais,Possimus excepturi perspiciatis cumque eius.,Reaberto,Nicolas Nogueira,Luiz Gustavo Andrade,False
148,2025-04-26,Lesão Corporal,Recusandae animi aliquid similique nemo facere ab fugit.,Suspenso,Erick Campos,Maria da Costa,False
149,2025-06-27,Posse de Drogas,Eveniet occaecati iure quasi.,Registrado,Lívia Silva,Alexandre Gomes,False
150,2025-06-07,Outros,Pariatur id cum ullam quisquam ipsam aliquid praesentium.,Em Análise,Aurora Casa Grande,Henry Gabriel Cavalcanti,False
151,2025-01-08,Perturbação do Sossego/Tranquilidade,Laudantium architecto neque architecto.,Registrado,Thomas Gonçalves,Ana Beatriz Teixeira,False
152,2025-07-21,Tráfico de Drogas,Culpa facilis nisi.,Cancelado,Josué Teixeira,Lucas Gabriel Moraes,False
153,2025-01-29,Encontro de Pessoa,Nostrum iure alias optio.,Concluído,Nicole Camargo,Mariane Sampaio,False
154,2025-01-04,Perturbação do Sossego/Tranquilidade,A fugiat quod eveniet.,Concluído,Luiz Gustavo Correia,Cauê Teixeira,False
155,2025-04-28,Desacato,Voluptatibus perspiciatis inventore.,Complementado,Lívia Novaes,João Guilherme Aragão,False
156,2025-03-01,Roubo,Sunt cupiditate doloremque iste atque.,Arquivado,Liam Pimenta,Eloá Correia,False
157,2025-01-19,Lesão Corporal,Officia iste laudantium dolore.,Concluído,Sr. Vitor Gabriel Camargo,Ayla Costa,False
158,2025-04-15,Tráfico de Drogas,Voluptate dignissimos odio similique nobis saepe ex.,Cancelado,Caleb Caldeira,Ágatha Vasconcelos,False
159,2025-04-17,Crime Cibernético,Recusandae ipsum esse non pariatur molestiae corrupti.,Registrado,Dr. Erick Mendes,Thales Melo,False
160,2025-03-01,Desobediência,Dolorem odio eius beatae corrupti optio culpa.,Cancelado,Hadassa Andrade,João Duarte,False
161,2025-02-11,Ameaça,Animi eum laudantium.,Reaberto,Bárbara Silveira,Sophie Novaes,False
162,2025-05-21,Calúnia,Maiores fugiat nulla beatae beatae.,Cancelado,Luna Lima,Paulo Peixoto,False
163,2025-03-26,Desobediência,Reprehenderit quo repellat voluptatem eaque dicta maiores optio.,Em Investigação,Srta. Ana Lívia Andrade,Emanuella Jesus,False
164,2025-04-19,Encontro de Pessoa,Doloremque tempora minus non numquam necessitatibus quo.,Arquivado,Maria Luiza Sousa,Henry Cardoso,False
165,2025-04-25,Tentativa de Suicídio,Pariatur ducimus dignissimos fuga dolor optio sed.,Registrado,Alice Pires,Heloísa Camargo,False
166,2025-01-14,Desobediência,At blanditiis reprehenderit odit voluptatem.,Encaminhado,Clara Borges,Zoe Costa,False
167,2025-05-21,Fraude,Dolores labore minima iusto ut quod.,Em Análise,Ravi Andrade,Lara Aparecida,False
168,2025-05-02,Crime Cibernético,Laboriosam vero eveniet beatae.,Encaminhado,Emanuel Jesus,Sr. Vinícius Câmara,False
169,2025-08-02,Crime Cibernético,Dolorem tempore amet quaerat totam at.,Arquivado,Cauã Machado,Larissa Souza,False
170,2025-07-04,Desobediência,Asperiores temporibus atque vitae totam veniam.,Registrado,Dr. Arthur Viana,Arthur Rios,False
171,2025-08-07,Difamação,Totam alias in voluptas.,Cancelado,Isaac Ferreira,Felipe Pires,False
172,2025-04-30,Desobediência,Consequuntur recusandae ab non.,Reaberto,Srta. Alice Sampaio,Fernanda Santos,False
173,2025-03-27,Desaparecimento de Pessoa,Quo nesciunt sit alias repudiandae ducimus rem.,Suspenso,Fernando Duarte,Ravi Martins,False
174,2025-02-06,Porte Ilegal de Arma,Molestias quas eius.,Registrado,Olivia Mendonça,Luiz Henrique Pacheco,False
175,2025-10-14,Danos Materiais,Rerum quo possimus officia.,Aguardando Validação,Gustavo Henrique Gonçalves,Manuela Costela,False
176,2025-07-14,Roubo,Itaque laborum nesciunt aperiam aperiam.,Encaminhado,Davi Luiz Novais,Dr. Nathan Cirino,False
177,2025-02-01,Calúnia,Aut dolores eveniet vero non eius possimus commodi.,Em Análise,Dr. Thales Farias,Luana da Rosa,False
178,2025-09-04,Violação de Medida Protetiva,Repudiandae veniam labore minus.,Concluído,Maria Luiza Peixoto,Benicio Ribeiro,False
179,2025-02-19,Maus-tratos a Animais,Cumque quo animi explicabo dolore.,Concluído,Stella das Neves,José Miguel Aparecida,False
180,2025-04-19,Desaparecimento de Pessoa,Hic voluptatibus pariatur.,Em Análise,Matheus Albuquerque,Bárbara Almeida,False
181,2025-05-26,Receptação,Ex voluptatum temporibus eos beatae.,Em Investigação,Manuela Cunha,Sr. Alexandre Moreira,False
182,2025-03-19,Desaparecimento de Pessoa,Fugit similique aut error.,Complementado,Anthony Nascimento,Dr. José Miguel Vieira,False
183,2025-09-11,Porte Ilegal de Arma,Ut cumque delectus debitis debitis.,Complementado,Mirella Melo,Ester Correia,False
184,2025-08-05,Acidente de Trânsito,Sequi facere eveniet.,Em Investigação,Mirella Abreu,Giovanna Campos,False
185,2025-01-27,Lesão Corporal,Facilis doloremque repellat deserunt similique corrupti.,Arquivado,Maria Eduarda Sá,Carlos Eduardo da Rocha,False
186,2025-04-05,Maus-tratos a Animais,Neque quod a illo perferendis.,Aguardando Validação,Maria Fernanda Correia,Julia Lima,False
187,2025-06-10,Perturbação do Sossego/Tranquilidade,Sunt accusamus error blanditiis laborum at rem.,Aguardando Validação,Heloísa Aragão,João Guilherme Sousa,False
188,2025-02-15,Desaparecimento de Pessoa,Voluptatem quasi atque nemo repellat.,Registrado,Maya Porto,Srta. Ester Mendes,False
189,2025-07-16,Encontro de Cadáver,Ipsam vero accusantium enim.,Registrado,Ana Luiza Duarte,Enzo Gabriel da Mata,False
190,2025-08-03,Desobediência,Magni eos praesentium qui.,Encaminhado,Srta. Julia Pimenta,Brenda Freitas,False
191,2025-10-14,Tentativa de Suicídio,Tempore minima officiis deleniti laudantium laudantium saepe.,Em Análise,Pedro Miguel Duarte,Isadora Lima,False
192,2025-02-09,Receptação,Architecto rerum nostrum maxime ex repudiandae accusamus.,Concluído,Agatha Vargas,Yuri Monteiro,False
193,2025-06-21,Roubo,Quisquam doloribus doloribus iusto assumenda dolorum.,Cancelado,Kamilly da Cunha,Gabriel Pinto,False
194,2025-10-20,Lesão Corporal,Ratione repellendus atque iusto.,Registrado,Nina Nogueira,Raquel Castro,False
195,2025-01-21,Acidente de Trânsito,Vitae eum quia unde atque aperiam ratione.,Encaminhado,Liam Fonseca,Julia Oliveira,False
196,2025-06-16,Porte Ilegal de Arma,Vero quisquam nobis minus incidunt quisquam.,Reaberto,Laura Mendes,Luana Abreu,False
197,2025-08-10,Embriaguez ao Volante,Unde exercitationem officia officia magni.,Encaminhado,João Felipe Araújo,Manuela Brito,False
198,2025-08-03,Violação de Domicílio,Magni cum sit mollitia hic perferendis numquam.,Reaberto,Maria Julia Caldeira,Theodoro Lima,False
199,2025-01-22,Fraude,Quibusdam dolorem consequatur.,Registrado,Giovanna Barros,Eloá Siqueira,False
200,2025-08-31,Calúnia,Voluptates dolorem tempore iste tenetur excepturi.,Encaminhado,Sr. Enzo Ramos,João Pedro Fernandes,False
201,2025-02-25,Acidente de Trânsito,Quisquam illum laudantium quis voluptate voluptas.,Reaberto,Sr. Theodoro Duarte,Raquel Oliveira,False
202,2025-06-02,Encontro de Cadáver,Beatae nam cumque.,Encaminhado,João Gabriel da Cruz,Bella Almeida,False
203,2025-07-16,Encontro de Pessoa,Recusandae asperiores velit at.,Cancelado,Theo Costela,Marcela Rios,False
204,2025-01-29,Danos Materiais,Placeat assumenda ad doloremque.,Complementado,Oliver Cardoso,Ana Liz Brito,False
205,2025-07-07,Violência Doméstica,Libero a non.,Em Investigação,Diego Aragão,Dra. Maria Eduarda Lopes,False
206,2025-08-03,Outros,Culpa non praesentium itaque earum non.,Suspenso,Pedro Lucas Marques,Dra. Maria Sophia Camargo,False
207,2025-07-26,Perturbação do Sossego/Tranquilidade,Quam laboriosam quia accusamus velit inventore sit.,Arquivado,Maria Câmara,Nicolas Araújo,False
208,2025-04-07,Tráfico de Drogas,Quas minima maxime adipisci tempore expedita nobis.,Arquivado,João Guilherme da Mata,Luiz Felipe Montenegro,False
209,2025-05-07,Tentativa de Suicídio,Minus error consequuntur illo iusto blanditiis.,Cancelado,Isis Ribeiro,Luna Melo,False
