id,data_registro,tipo_ocorrencia,descricao,status,nome_declarante,nome_autor,deleted
26,2025-08-26,Furto,Maiores repellendus fugiat modi dicta deserunt delectus.,Em análise,Rhavi Dias,Isabella da Costa,False
27,2025-04-24,Agressão,Dolores labore maiores temporibus voluptatem.,Em análise,Laura Rios,Ana Laura Garcia,False
28,2025-05-19,Agressão,Saepe magnam atque illo non.,Em análise,Lucas Gabriel Guerra,Cecília Vieira,False
29,2025-01-23,Vandalismo,Nisi quis totam accusamus.,Aberto,Gustavo das Neves,Alexia Alves,False
30,2025-08-24,Vandalismo,Quidem exercitationem asperiores pariatur ipsum ipsa.,Fechado,Emanuel Peixoto,José Miguel Farias,False
31,2025-03-13,Perda,Architecto ipsum quo eveniet ea reprehenderit.,Em análise,Maria Liz da Paz,Felipe Caldeira,False
32,2025-07-11,Roubo,Nam explicabo dignissimos non.,Em análise,Maria Fernanda Nascimento,Lara Gonçalves,False
33,2025-08-27,Roubo,Harum animi sapiente quaerat.,Fechado,Ravy Costa,Mirella da Cunha,False
34,2025-03-01,Vandalismo,Et distinctio sunt occaecati veritatis natus minus.,Aberto,Maria Flor Lima,Milena Melo,False
35,2025-04-23,Furto,Autem expedita quaerat explicabo error facere sit nesciunt.,Fechado,Otávio Vargas,Murilo da Cunha,False
36,2025-01-01,Furto,Blanditiis quia impedit explicabo dicta.,Em análise,Guilherme Casa Grande,Vinicius Caldeira,False
37,2025-01-17,Furto,Nisi cupiditate nostrum dolorem saepe.,Fechado,Nicolas Pacheco,Amanda Machado,False
38,2025-03-14,Furto,Dolorum voluptates corrupti similique ipsam.,Fechado,Dom Almeida,Breno Brito,False
39,2025-05-06,Roubo,Quia voluptas esse earum explicabo.,Em análise,Vitor Santos,Dom Macedo,False
40,2025-05-18,Agressão,In nobis asperiores explicabo perferendis maxime.,Fechado,João da Mata,Mariah da Rosa,False
41,2025-07-27,Vandalismo,Ex vel laborum reprehenderit provident neque.,Em análise,Olívia Barros,Maria Alice da Rosa,False
42,2025-02-23,Furto,Aliquid sed voluptatum tempore commodi fugit id natus.,Em análise,Sra. Melissa Guerra,Camila Nunes,False
43,2025-06-25,Agressão,Porro nobis labore consequuntur ipsa modi.,Fechado,Caleb Porto,Eloá Novaes,False
44,2025-05-17,Agressão,Aut incidunt quia laboriosam.,Fechado,Sarah Azevedo,Antônio Pacheco,False
45,2025-04-26,Vandalismo,Dolorum quas eveniet amet ut.,Em análise,Ana Lívia Nascimento,Dr. Gael Henrique Vasconcelos,False
46,2025-07-05,Vandalismo,Sit voluptate odit quisquam assumenda laboriosam autem.,Fechado,Dr. Juan Silva,Benicio da Cunha,False
47,2025-02-12,Furto,Labore dolor cumque doloribus eaque.,Aberto,Vinícius Cunha,Beatriz da Rocha,False
48,2025-02-22,Vandalismo,Placeat ab nisi ipsa modi.,Aberto,Alexandre Pinto,Fernanda Mendes,False
49,2025-09-27,Furto,Nobis quaerat eveniet maxime.,Aberto,Dr. Oliver Aragão,Lunna Cavalcanti,False
50,2025-07-01,Vandalismo,Itaque cupiditate aliquid nostrum beatae distinctio.,Aberto,Benjamin Cavalcante,João Vitor Sousa,False
51,2025-04-07,Agressão,Quidem eos aliquam ullam ut neque.,Aberto,Aurora Castro,Sr. João Mendonça,False
52,2025-04-09,Furto,Voluptates magnam inventore autem animi sint.,Fechado,Ester Câmara,Marina Borges,False
53,2025-03-15,Vandalismo,Quod error aliquam quos nobis distinctio magni.,Em análise,Luna Moraes,Mathias Gonçalves,False
54,2025-09-26,Roubo,Occaecati similique laudantium sunt natus dolor.,Em análise,Maysa Azevedo,Cecília da Cruz,False
55,2025-07-04,Roubo,Culpa dolores est amet perspiciatis beatae.,Em análise,Dra. Laura Nunes,Juliana da Mota,False
56,2025-05-21,Perda,Repellendus magni culpa nulla delectus eligendi voluptas.,Fechado,Manuella Garcia,Clarice Garcia,False
57,2025-01-07,Agressão,Repellendus assumenda accusantium quae tempora voluptates eveniet.,Em análise,Gabriel Duarte,Letícia Santos,False
58,2025-02-12,Perda,Expedita vero quae.,Aberto,Srta. Mariana da Cunha,Larissa da Cunha,False
59,2025-01-14,Agressão,Non illum corrupti vel dolor.,Fechado,Vitor Gabriel Pacheco,Ísis Cassiano,False
60,2025-02-28,Furto,Sunt esse occaecati alias inventore distinctio saepe.,Aberto,Srta. Luna Campos,Diego Oliveira,False
61,2025-08-11,Agressão,Facilis reprehenderit nulla magnam ea ipsum.,Em análise,Lorenzo Pimenta,Maitê Vargas,False
62,2025-02-22,Roubo,Aliquid voluptate similique facere culpa laboriosam eos.,Fechado,Srta. Bella Siqueira,Sr. Luiz Henrique Costa,False
63,2025-06-06,Agressão,Cumque cumque quibusdam aliquid quae odit id explicabo.,Aberto,Rhavi Pastor,Heloísa Vargas,False
64,2025-03-13,Vandalismo,Occaecati provident similique praesentium.,Fechado,Yago Cunha,Henry Gabriel Rios,False
65,2025-03-02,Roubo,Provident in exercitationem temporibus nostrum modi in.,Em análise,Emanuella Sales,Bárbara Costela,False
66,2025-08-02,Roubo,Quae beatae quos harum.,Em análise,Srta. Jade Azevedo,Sr. Erick Moura,False
67,2025-03-07,Roubo,Minima sapiente quam vitae accusantium eius.,Em análise,Mateus Teixeira,Dante Aragão,False
68,2025-04-17,Perda,Velit eum perspiciatis quae.,Em análise,Caio Ferreira,Anthony Araújo,False
69,2025-10-05,Perda,Illo nostrum corporis nisi magnam.,Fechado,Marcelo Montenegro,Luiz Miguel Pastor,False
70,2025-07-15,Furto,Ut id quisquam nobis sit.,Em análise,Srta. Alana Fernandes,Rebeca Carvalho,False
71,2025-03-24,Perda,Officiis nemo ut blanditiis.,Fechado,Eduarda Casa Grande,Miguel Pereira,False
72,2025-03-10,Roubo,Mollitia necessitatibus excepturi ex nemo.,Aberto,Lucas Gabriel Fernandes,Daniela Pereira,False
73,2025-06-20,Perda,Assumenda nisi beatae voluptatibus nisi illo architecto.,Aberto,Laís Moura,Ana Luiza Costa,False
74,2025-07-25,Perda,Eveniet saepe occaecati inventore beatae accusantium sunt.,Fechado,Kevin Gonçalves,Noah Andrade,False
75,2025-09-10,Roubo,Eum aspernatur sunt voluptatum quidem.,Aberto,Maria Clara Cirino,Sr. Noah Vieira,False
76,2025-05-15,Furto,Perspiciatis hic doloremque eos dolore id voluptates.,Fechado,Gabriel Ribeiro,Marcos Vinicius Moura,False
77,2025-01-20,Perda,Repellat ducimus exercitationem eos.,Aberto,Mateus Dias,Sra. Camila Moura,False
78,2025-02-10,Perda,Placeat dolores ipsa.,Aberto,Mirella Marques,Caroline Duarte,False
79,2025-09-22,Agressão,Aspernatur iste modi iusto laborum architecto odio.,Fechado,Fernanda Gonçalves,Caroline Camargo,False
80,2025-07-23,Agressão,Eius sint iusto repudiandae.,Em análise,Lorenzo Campos,Marina Castro,False
81,2025-02-02,Roubo,Aspernatur atque quis eligendi est quasi laboriosam.,Aberto,Ana Júlia da Mota,Joana Araújo,False
82,2025-06-30,Furto,Deleniti labore tempora dolores possimus dolorem explicabo.,Em análise,Dr. Thomas Macedo,Emanuelly Gonçalves,False
83,2025-08-25,Perda,Error cum est repudiandae esse voluptatibus nostrum.,Fechado,Ana Sophia Cavalcante,Antonella Gomes,False
84,2025-09-04,Roubo,Quo quae inventore delectus molestiae natus quod.,Em análise,Letícia Teixeira,Nicolas Gonçalves,False
85,2025-05-29,Agressão,Beatae exercitationem occaecati quam explicabo.,Fechado,Luigi Nunes,Zoe Cardoso,False
86,2025-03-06,Vandalismo,In quaerat maiores possimus delectus.,Aberto,Dr. Luiz Otávio da Luz,Francisco Camargo,False
87,2025-01-16,Furto,Totam incidunt dicta maxime itaque deleniti et possimus.,Aberto,Evelyn Brito,Dr. Luiz Henrique Correia,False
88,2025-03-20,Vandalismo,Beatae error illo repudiandae deleniti aliquam tempore.,Em análise,Srta. Cecilia Mendes,Sra. Maria Liz Nogueira,False
89,2025-09-17,Agressão,Corrupti suscipit veniam commodi inventore suscipit.,Em análise,Esther Lima,Lucca Almeida,False
90,2025-01-16,Roubo,Similique expedita quis dicta nihil optio est.,Aberto,Anthony Gomes,Sr. Guilherme Cardoso,False
91,2025-01-15,Furto,Veniam culpa consectetur odit assumenda occaecati rem.,Em análise,Kamilly Gonçalves,Melissa da Cunha,False
92,2025-06-06,Agressão,Velit architecto est in.,Fechado,Melina Pimenta,Sr. Bryan Lima,False
93,2025-03-16,Roubo,Minus iure harum.,Em análise,Dr. Paulo Oliveira,Otávio Pacheco,False
94,2025-08-15,Roubo,Animi possimus distinctio debitis.,Aberto,Valentina Borges,Manuela Siqueira,False
95,2025-02-25,Agressão,Magnam ipsum aut delectus occaecati pariatur omnis.,Aberto,Valentim Mendonça,Maria Vitória Melo,False
96,2025-03-11,Agressão,Distinctio animi hic dolores esse inventore est voluptatibus.,Aberto,João Lucas Nogueira,Nathan Cavalcanti,False
97,2025-07-14,Roubo,Voluptate molestias eligendi numquam ea sequi inventore repudiandae.,Fechado,Samuel Fogaça,Enrico Câmara,False
98,2025-05-21,Vandalismo,Ratione quidem ex accusantium perferendis rerum.,Fechado,Rebeca Mendonça,Mateus Ribeiro,False
99,2025-08-16,Agressão,Aperiam quos esse repudiandae labore rem eum fugiat.,Em análise,Benjamim Cassiano,Srta. Fernanda Andrade,False
100,2025-07-07,Perda,Vitae expedita iusto assumenda animi.,Aberto,Sr. Bruno Leão,Enzo Gabriel da Rocha,False
101,2025-07-06,Perda,Suscipit sint quia minus voluptas.,Fechado,Joana Monteiro,Maria Eduarda Vargas,False
102,2025-07-26,Vandalismo,Quia quae minima culpa praesentium velit corporis.,Aberto,Melina Castro,Sr. Dante Casa Grande,False
103,2025-02-08,Agressão,Aspernatur pariatur facilis dicta.,Aberto,Asafe Azevedo,Sr. João Gabriel Nascimento,False
104,2025-09-07,Furto,Assumenda perspiciatis provident error.,Aberto,Evelyn Araújo,Gael Moraes,False
105,2025-03-29,Vandalismo,Rerum rem sequi iusto necessitatibus voluptate occaecati.,Aberto,Rodrigo da Rocha,João Felipe Barbosa,False
106,2025-05-12,Perda,Recusandae voluptatum animi itaque amet.,Aberto,Catarina Ferreira,Luiz Otávio Marques,False
107,2025-02-08,Perda,Odit praesentium odio.,Fechado,Sofia Moreira,Cecília Pereira,False
108,2025-04-14,Roubo,Omnis magni veritatis.,Aberto,Samuel Cirino,Sr. Rodrigo Martins,False
109,2025-02-24,Agressão,Consequuntur sunt at id architecto ad impedit.,Fechado,Gustavo da Luz,Theodoro Melo,False
110,2025-08-31,Furto,Quas qui natus saepe neque eos modi vero.,Em análise,Rafael da Cruz,Pedro Lucas Garcia,False
111,2025-05-02,Roubo,Libero omnis nobis id delectus nemo beatae.,Aberto,Sr. Cauã Novaes,Isabela Castro,False
112,2025-03-10,Roubo,Quia exercitationem voluptas hic.,Fechado,Agatha Mendonça,Laís Siqueira,False
113,2025-08-17,Roubo,Vel iusto incidunt molestias culpa hic quis.,Fechado,Dr. Calebe Lopes,Yago Vargas,False
114,2025-05-08,Furto,Ullam reprehenderit amet excepturi quibusdam sed.,Em análise,Dr. Bernardo da Mota,Davi Lucas Costela,False
115,2025-07-25,Perda,Repellendus quos doloremque nesciunt quaerat aperiam voluptas.,Aberto,Raquel Nogueira,Isis da Rocha,False
116,2025-09-26,Roubo,Repudiandae eveniet tempora alias.,Em análise,Antônio Pimenta,Rodrigo Lopes,False
117,2025-01-27,Vandalismo,Ad amet animi quos ipsum corrupti explicabo.,Fechado,Stephany Araújo,Aylla Mendes,False
118,2025-03-21,Vandalismo,Eum dolorum consequatur sunt soluta quas.,Aberto,Ravy Cirino,Dante Ramos,False
119,2025-07-16,Vandalismo,Modi consequuntur in assumenda velit architecto.,Fechado,Ester da Luz,Gabriel Caldeira,False
120,2025-04-04,Furto,Dicta molestias quos quo.,Em análise,Murilo Vasconcelos,Evelyn Aparecida,False
121,2025-09-02,Roubo,Assumenda iure ipsa molestias adipisci ad iste.,Fechado,Juan Gonçalves,Julia Freitas,False
122,2025-02-24,Vandalismo,Neque excepturi illo debitis dolorem repellendus.,Em análise,Matteo Silveira,Ana Liz da Cunha,False
123,2025-09-02,Perda,Minus soluta sequi nisi.,Aberto,Liam Teixeira,Valentim da Luz,False
124,2025-09-29,Perda,Labore est at neque sequi eveniet maxime eaque.,Aberto,Sra. Elisa Lima,Arthur Miguel Guerra,False
125,2025-07-06,Roubo,Beatae assumenda autem minima dolorem doloribus est.,Em análise,Dr. Rael Souza,Igor Cassiano,False
126,2025-02-11,Perda,Quo nihil unde rem neque.,Em análise,Calebe Oliveira,Marcelo Cirino,False
127,2025-03-29,Roubo,Recusandae omnis eos occaecati sequi voluptates illum.,Fechado,Isabella Silveira,Yan Azevedo,False
128,2025-09-11,Furto,Vero voluptatem facilis repellendus id repellat.,Em análise,Catarina Lopes,Otávio Gomes,False
129,2025-09-23,Furto,Laboriosam maxime fugiat veniam harum.,Em análise,Vicente Pimenta,Sr. Eduardo Pereira,False
130,2025-07-13,Furto,Deserunt possimus alias debitis nisi.,Aberto,João Montenegro,Pedro Rodrigues,False
131,2025-07-23,Furto,Commodi sunt laboriosam in.,Aberto,Lavínia da Paz,Josué Andrade,False
132,2025-09-07,Perda,Maiores iure ut.,Aberto,Isabelly Rocha,Cecília Moreira,False
133,2025-05-08,Perda,Nihil iure totam aliquid.,Fechado,Dr. Davi Lucas Ribeiro,Anthony Gabriel da Mata,False
134,2025-04-08,Vandalismo,In sequi vitae aperiam unde.,Fechado,Gabriel Cunha,Francisco Montenegro,False
135,2025-09-06,Agressão,Nesciunt quo iste vel architecto similique.,Fechado,Isabella Rezende,Lorena Rodrigues,False
136,2025-03-06,Agressão,Dolor doloribus optio quasi aspernatur placeat cupiditate.,Fechado,Calebe Jesus,Juliana Sampaio,False
137,2025-06-15,Furto,Totam eos libero culpa est quis esse.,Aberto,Dr. Luan Moreira,Srta. Marina Guerra,False
138,2025-02-24,Vandalismo,Unde aliquam ex exercitationem quod blanditiis.,Em análise,Rael Dias,Arthur Gabriel Novais,False
139,2025-09-12,Perda,Atque iusto veniam velit mollitia.,Em análise,Rhavi Sales,Esther Ramos,False
140,2025-01-03,Agressão,Ratione harum veniam.,Aberto,Calebe Monteiro,Murilo Santos,False
141,2025-08-06,Furto,Itaque id voluptatum.,Em análise,Levi Abreu,Ana Cecília da Cruz,False
142,2025-10-06,Furto,Nam ipsum provident nihil cum excepturi sed.,Em análise,Maria Julia Sousa,Brenda Pimenta,False
143,2025-07-25,Vandalismo,Rem architecto cum repellat officia officiis.,Aberto,Maria Cecília da Cruz,Diego das Neves,False
144,2025-07-09,Roubo,Magnam adipisci quos vitae sunt sit modi.,Aberto,José Pedro Sampaio,Léo Azevedo,False
145,2025-01-09,Vandalismo,Porro hic inventore odit eaque ipsum architecto aliquid.,Fechado,Enrico Porto,Ian Costela,False
146,2025-01-26,Perda,Reiciendis veniam ullam pariatur aut numquam.,Aberto,Isaque Nogueira,Dr. João Miguel Sousa,False
147,2025-04-28,Agressão,Atque rerum accusamus debitis iure tempora culpa.,Aberto,Diego Alves,Théo Dias,False
148,2025-02-23,Agressão,Ratione rerum dolorum corporis repellat vel sunt ab.,Fechado,Nicole Rocha,Luiz Otávio Cunha,False
149,2025-01-01,Perda,Provident consequatur ea sed aperiam soluta.,Aberto,Ana Sophia Gonçalves,Srta. Marcela Cassiano,False
150,2025-07-05,Perda,Velit rem ratione tempora expedita a.,Em análise,Maria Helena Novaes,Ana Aparecida,False
151,2025-06-26,Furto,Ducimus autem consectetur laboriosam provident expedita.,Aberto,Benjamin Correia,Dr. Anthony Montenegro,False
152,2025-08-31,Roubo,Perferendis voluptas laudantium aut.,Aberto,Sr. Brayan Cirino,Mariane Cavalcante,False
153,2025-04-11,Perda,Consequuntur voluptatem optio aliquam.,Fechado,Milena Azevedo,Sra. Maria Helena da Mata,False
154,2025-05-08,Agressão,Illum saepe quibusdam corporis nihil suscipit officiis.,Fechado,João Miguel Sampaio,Davi Lucas Pinto,False
155,2025-09-02,Furto,Inventore tenetur eum accusantium suscipit consequatur praesentium.,Aberto,Lucca Rodrigues,Srta. Gabrielly Campos,False
156,2025-07-30,Perda,Earum iure at doloribus adipisci minus cumque perferendis.,Aberto,Apollo Carvalho,Henry Gabriel Castro,False
157,2025-06-11,Vandalismo,Laboriosam ducimus temporibus iure saepe.,Aberto,Vitória Cunha,Isabela Moura,False
158,2025-09-08,Agressão,Magnam reprehenderit explicabo officia eaque.,Em análise,Luara Ribeiro,Maria Luiza Nunes,False
159,2025-09-01,Roubo,Quas nulla commodi quos autem nobis voluptatibus.,Em análise,Maria Isis Campos,Ana Lívia Fogaça,False
160,2025-09-08,Agressão,Facere id illo voluptate quis odit.,Fechado,Miguel Rocha,Vicente Duarte,False
161,2025-01-13,Perda,Animi corrupti perferendis eos repellat.,Fechado,Srta. Milena Lima,Rafael Cavalcante,False
162,2025-06-09,Roubo,Sapiente deleniti incidunt accusantium nam deserunt.,Fechado,Sra. Daniela Rodrigues,Srta. Caroline Gonçalves,False
163,2025-01-15,Vandalismo,Aliquid libero vero corrupti maxime voluptatibus sapiente consequatur.,Aberto,Bella Nogueira,Camila Macedo,False
164,2025-04-25,Perda,Minima necessitatibus deserunt sequi rem in cum.,Fechado,Dr. Calebe das Neves,Sra. Isabelly Fonseca,False
165,2025-07-10,Furto,Nisi numquam placeat nobis quam sequi sunt.,Aberto,Sophie Porto,Emanuel Viana,False
166,2025-04-19,Roubo,Sed tempore dolores impedit repellat occaecati id.,Em análise,Dr. Enzo Gabriel Rodrigues,Valentim Pacheco,False
167,2025-10-01,Vandalismo,Nihil occaecati laborum rem aut explicabo.,Aberto,Mathias Machado,Sra. Heloísa Dias,False
168,2025-10-08,Furto,Dicta magnam omnis quod nulla consequatur.,Em análise,Lorena Cirino,Yago Ferreira,False
169,2025-07-11,Vandalismo,Quam aliquid hic vel eum omnis consectetur.,Aberto,João Lucas Silva,Luana Caldeira,False
170,2025-09-16,Furto,Neque inventore nesciunt modi quam mollitia.,Em análise,Théo da Luz,Lucas Gabriel Sampaio,False
171,2025-06-17,Vandalismo,Maiores aut occaecati recusandae quia assumenda.,Fechado,Sr. Augusto Sousa,Heitor Cassiano,False
172,2025-05-16,Perda,Iste debitis minus necessitatibus suscipit aspernatur.,Aberto,Liam Guerra,Igor Gomes,False
173,2025-01-16,Agressão,Error consequatur aspernatur qui dolores dignissimos veniam.,Fechado,Luiz Fernando Viana,Sr. Fernando Freitas,False
174,2025-03-06,Perda,Deserunt adipisci architecto suscipit commodi saepe aperiam dignissimos.,Aberto,Pietro Vasconcelos,Aurora Santos,False
175,2025-06-14,Vandalismo,Magnam eligendi possimus odio non.,Fechado,Mathias Peixoto,Mathias Pinto,False
176,2025-02-23,Agressão,Consectetur illum quae quo.,Em análise,Luiz Felipe Ferreira,Clarice Pacheco,False
177,2025-10-09,Vandalismo,Rerum autem animi fugiat commodi sapiente possimus.,Fechado,Sr. Davi Lucas Cavalcante,Cecilia Moreira,False
178,2025-08-15,Furto,Odio nam sit amet hic magnam.,Em análise,Luara Campos,Allana Freitas,False
179,2025-08-13,Roubo,Nihil nihil aperiam sequi.,Aberto,Dra. Ana Cecília Siqueira,Gustavo Cardoso,False
180,2025-06-26,Agressão,A modi at deserunt amet.,Em análise,Isis Sá,Hellena Teixeira,False
181,2025-08-31,Furto,Provident perferendis voluptatem enim.,Aberto,Marcela Castro,Enzo da Costa,False
182,2025-03-26,Agressão,Consectetur ratione nemo dolorum doloremque nulla.,Aberto,Fernando Almeida,Alana Sampaio,False
183,2025-01-29,Vandalismo,Atque saepe voluptatem in officiis praesentium placeat laborum.,Em análise,Vitor Hugo Viana,Samuel Siqueira,False
184,2025-02-21,Perda,Non ea doloribus incidunt dolores quisquam numquam.,Em análise,Isaac da Rosa,Helena Cirino,False
185,2025-05-06,Agressão,Qui corrupti repudiandae vitae quam minus deleniti.,Aberto,Henry Martins,Cecilia Nogueira,False
186,2025-08-27,Perda,Fuga explicabo eligendi molestiae possimus excepturi cupiditate.,Fechado,Anthony da Mota,Isabel Vieira,False
187,2025-10-02,Perda,Perferendis accusantium doloribus quisquam dolorum molestias tenetur.,Aberto,Lucca Pereira,Arthur Silva,False
188,2025-02-22,Agressão,Veniam necessitatibus hic odit quis.,Fechado,Noah Rocha,Sra. Luiza da Rocha,False
189,2025-09-27,Perda,Illum explicabo repellat dolorem.,Aberto,Apollo Alves,João Felipe Albuquerque,False
190,2025-05-14,Perda,Consectetur temporibus eaque nemo.,Em análise,Emilly Barros,Dra. Aylla Lopes,False
191,2025-02-02,Agressão,Sequi facilis quos maxime esse.,Fechado,Gustavo Vasconcelos,Bernardo Rezende,False
192,2025-09-10,Agressão,Repudiandae nostrum voluptatum nobis.,Em análise,Gael Henrique Melo,Nicolas Pastor,False
193,2025-10-07,Agressão,Atque quidem maxime dicta blanditiis.,Em análise,Luna Fernandes,Gustavo Ramos,False
194,2025-06-24,Vandalismo,Temporibus ea ipsa veniam commodi veniam.,Aberto,Carolina Cassiano,Yan da Rocha,False
195,2025-02-09,Roubo,Maiores tempora maxime aliquam adipisci sequi alias.,Fechado,Ana Clara da Costa,Bruno das Neves,False
196,2025-03-17,Vandalismo,Inventore consectetur unde iusto expedita.,Em análise,Mariana Lopes,Noah Cirino,False
197,2025-09-30,Furto,Officia laboriosam quidem explicabo.,Em análise,Maria Cecília Leão,Sra. Sabrina Garcia,False
198,2025-01-29,Perda,Accusamus veritatis dolorum hic quos quibusdam nobis eligendi.,Aberto,Sophia Cavalcanti,Fernanda Duarte,False
199,2025-09-19,Roubo,Voluptas provident consequuntur unde.,Em análise,Sra. Luana Moraes,Antônio Ribeiro,False
200,2025-07-01,Vandalismo,Voluptatum eaque ea.,Fechado,Caroline Pires,Sr. Benjamin Cardoso,False
201,2025-04-22,Perda,Laborum cupiditate rem aliquam deserunt totam dolor nihil.,Em análise,Dra. Maria Liz da Costa,Vinicius Pinto,False
202,2025-09-12,Agressão,Animi qui quos laudantium dolorem.,Em análise,Vitor Gabriel da Costa,Lívia Rezende,False
203,2025-02-17,Roubo,Officia impedit ad at libero architecto explicabo.,Fechado,Sr. Fernando Araújo,Maysa Aparecida,False
204,2025-01-28,Agressão,Pariatur mollitia explicabo quidem labore eveniet debitis.,Fechado,Davi Miguel Cavalcanti,Hellena Vasconcelos,False
205,2025-06-17,Vandalismo,Illo cupiditate sint dignissimos ipsum temporibus.,Fechado,Ana Cecília Peixoto,Alícia Abreu,False
206,2025-08-28,Perda,Blanditiis repellat nostrum iste.,Em análise,Sr. Lucas Carvalho,Daniel Barros,False
207,2025-09-10,Furto,Quae dolore possimus a voluptate dolores reprehenderit.,Aberto,Srta. Olívia Dias,Dra. Alexia da Costa,False
208,2025-02-27,Agressão,Maxime laborum dolor exercitationem iste laudantium modi hic.,Em análise,Sr. João Felipe Cavalcante,Mariane Barbosa,False
209,2025-06-23,Agressão,Tempore enim voluptate.,Em análise,Bárbara Abreu,Maysa Marques,False
210,2025-10-03,Roubo,Ullam suscipit labore consectetur voluptatem quibusdam.,Fechado,Nina Nunes,Júlia Azevedo,False
211,2025-09-08,Furto,Aspernatur quisquam nulla tempora nam aperiam nobis.,Fechado,Ana Liz Leão,Dr. Luiz Otávio Nunes,False
212,2025-06-15,Furto,Ut porro magni.,Em análise,Marcelo Mendonça,Nicole Brito,False
213,2025-07-28,Roubo,Iusto sit placeat.,Aberto,Maria Sophia Correia,Theo Campos,False
214,2025-08-01,Furto,Rem non nulla eaque.,Em análise,Bárbara da Luz,Yasmin Pires,False
215,2025-02-15,Perda,Sed placeat eum delectus.,Em análise,Theo Montenegro,Ana Rios,False
216,2025-04-15,Perda,Accusamus magnam cum sapiente ipsa vitae officia.,Em análise,Benicio Cavalcante,Ian Santos,False
217,2025-03-10,Perda,Error sapiente itaque aliquam ex itaque cum.,Aberto,Emanuelly Vieira,Ana Vitória Mendonça,False
218,2025-08-29,Vandalismo,Ducimus nulla quae doloremque doloremque vel nostrum tenetur.,Fechado,Isis da Cunha,Ágatha Gomes,False
219,2025-05-04,Vandalismo,Quasi voluptates magnam sed ratione aliquid.,Aberto,Isabela Novaes,Rafael Sampaio,False
220,2025-05-16,Agressão,Quos autem mollitia sapiente facere.,Fechado,André Gonçalves,Dra. Heloisa Martins,False
221,2025-01-24,Roubo,Nulla rem fugiat facere eaque consectetur.,Em análise,Ana Cecília Pacheco,Davi Lucas da Rosa,False
